Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἀπῆλθεν,he departed,V-AIA-3S,G565,Luke 8,19845
καθ,through,Prep,G2596,Luke 8,19846
ὅλην,all,Adj-AFS,G3650,Luke 8,19847
Ἐν,When,Prep,G1722,Luke 8,19848
ὑποστρέφειν,returned,V-PNA,G5290,Luke 8,19849
ἀπεδέξατο,received,V-AIM-3S,G588,Luke 8,19850
ὄχλος,crowd,N-NMS,G3793,Luke 8,19851
πάντες,all,Adj-NMP,G3956,Luke 8,19852
προσδοκῶντες,looking for,V-PPA-NMP,G4328,Luke 8,19853
ἰδοὺ,behold,V-AMA-2S,G2400,Luke 8,19854
ἦλθεν,came,V-AIA-3S,G2064,Luke 8,19855
ᾧ,whose,RelPro-DMS,G3739,Luke 8,19856
ὄνομα,name was,N-NNS,G3686,Luke 8,19857
Ἰάϊρος,Jairus,N-NMS,G2383,Luke 8,19858
οὗτος,he,DPro-NMS,G3778,Luke 8,19859
ἄρχων,a ruler,N-NMS,G758,Luke 8,19860
συναγωγῆς,synagogue,N-GFS,G4864,Luke 8,19861
ὑπῆρχεν,was,V-IIA-3S,G5225,Luke 8,19862
πεσὼν,having fallen,V-APA-NMS,G4098,Luke 8,19863
τοῦ,-,Art-GMS,G3588,Luke 8,19864
παρεκάλει,he began begging,V-IIA-3S,G3870,Luke 8,19865
οἶκον,house,N-AMS,G3624,Luke 8,19866
θυγάτηρ,daughter,N-NFS,G2364,Luke 8,19867
μονογενὴς,an only,Adj-NFS,G3439,Luke 8,19868
ἦν,was,V-IIA-3S,G1510,Luke 8,19869
ὡς,about,Adv,G5613,Luke 8,19870
ἐτῶν,years old,N-GNP,G2094,Luke 8,19871
δώδεκα,twelve,Adj-GNP,G1427,Luke 8,19872
αὐτὴ,she,PPro-NF3S,G846,Luke 8,19873
ἀπέθνῃσκεν,was dying,V-IIA-3S,G599,Luke 8,19874
ὑπάγειν,went,V-PNA,G5217,Luke 8,19875
ὄχλοι,crowds,N-NMP,G3793,Luke 8,19876
συνέπνιγον,were pressing around,V-IIA-3P,G4846,Luke 8,19877
οὖσα,being,V-PPA-NFS,G1510,Luke 8,19878
ῥύσει,a flux,N-DFS,G4511,Luke 8,19879
αἵματος,of blood,N-GNS,G129,Luke 8,19880
ἰατροῖς,on physicians,N-DMP,G2395,Luke 8,19881
προσαναλώσασα,having spent,V-APA-NFS,G4321,Luke 8,19882
ὅλον,all,Adj-AMS,G3650,Luke 8,19883
βίον,living,N-AMS,G979,Luke 8,19884
ἴσχυσεν,was able,V-AIA-3S,G2480,Luke 8,19885
οὐδενὸς,no one,Adj-GNS,G3762,Luke 8,19886
θεραπευθῆναι,to be healed,V-ANP,G2323,Luke 8,19887
προσελθοῦσα,having come,V-APA-NFS,G4334,Luke 8,19888
ὄπισθεν,behind,Adv,G3693,Luke 8,19889
ἥψατο,touched,V-AIM-3S,G680,Luke 8,19890
κρασπέδου,fringe,N-GNS,G2899,Luke 8,19891
ἱματίου,of cloak,N-GNS,G2440,Luke 8,19892
παραχρῆμα,immediately,Adv,G3916,Luke 8,19893
ἔστη,stopped,V-AIA-3S,G2476,Luke 8,19894
ῥύσις,flux,N-NFS,G4511,Luke 8,19895
αὐτῆς,of her,PPro-GF3S,G846,Luke 8,19896
ἁψάμενός,having touched,V-APM-NMS,G680,Luke 8,19897
Ἀρνουμένων,Were denying it,V-PPM/P-GMP,G720,Luke 8,19898
πάντων,all,Adj-GMP,G3956,Luke 8,19899
Πέτρος,Peter,N-NMS,G4074,Luke 8,19900
συνέχουσίν,surround,V-PIA-3P,G4912,Luke 8,19901
ἀποθλίβουσιν,press in,V-PIA-3P,G598,Luke 8,19902
καὶ,And,Conj,G2532,Luke 8,19903
λέγεις,you say,V-PIA-2S,G3004,Luke 8,19904
Tίς,Who,IPro-NMS,G5101,Luke 8,19905
μου,me,PPro-G1S,G1473,Luke 8,19906
Ἥψατό,Touched,V-AIM-3S,G680,Luke 8,19907
μού,Me,PPro-G1S,G1473,Luke 8,19908
ἐγὼ,I,PPro-N1S,G1473,Luke 8,19909
ἔγνων,know,V-AIA-1S,G1097,Luke 8,19910
δύναμιν,power,N-AFS,G1411,Luke 8,19911
ἐξεληλυθυῖαν,has gone out,V-RPA-AFS,G1831,Luke 8,19912
ἐμοῦ,Me,PPro-G1S,G1473,Luke 8,19913
Ἰδοῦσα,Having seen,V-APA-NFS,G3708,Luke 8,19914
ἔλαθεν,she was hid,V-AIA-3S,G2990,Luke 8,19915
τρέμουσα,trembling,V-PPA-NFS,G5141,Luke 8,19916
προσπεσοῦσα,having fallen down before,V-APA-NFS,G4363,Luke 8,19917
δι,for,Prep,G1223,Luke 8,19918
ἣν,what,RelPro-AFS,G3739,Luke 8,19919
αἰτίαν,cause,N-AFS,G156,Luke 8,19920
ἀπήγγειλεν,she declared,V-AIA-3S,G518,Luke 8,19921
ἐνώπιον,before,Prep,G1799,Luke 8,19922
παντὸς,all,Adj-GMS,G3956,Luke 8,19923
λαοῦ,people,N-GMS,G2992,Luke 8,19924
ἰάθη,she was healed,V-AIP-3S,G2390,Luke 8,19925
αὐτῇ,to her,PPro-DF3S,G846,Luke 8,19926
Θυγάτηρ,Daughter,N-NFS,G2364,Luke 8,19927
σέσωκέν,has healed,V-RIA-3S,G4982,Luke 8,19928
πορεύου,go,V-PMM/P-2S,G4198,Luke 8,19929
εἰρήνην,peace,N-AFS,G1515,Luke 8,19930
Ἔτι,Still,Adv,G2089,Luke 8,19931
λαλοῦντος,speaking,V-PPA-GMS,G2980,Luke 8,19932
ἔρχεταί,comes,V-PIM/P-3S,G2064,Luke 8,19933
ἀρχισυναγώγου,synagogue ruler,N-GMS,G752,Luke 8,19934
Τέθνηκεν,Has died,V-RIA-3S,G2348,Luke 8,19935
μηκέτι,no longer,Adv,G3371,Luke 8,19936
σκύλλε,trouble,V-PMA-2S,G4660,Luke 8,19937
Διδάσκαλον,Teacher,N-AMS,G1320,Luke 8,19938
ἀκούσας,having heard,V-APA-NMS,G191,Luke 8,19939
ἀπεκρίθη,answered,V-AIP-3S,G611,Luke 8,19940
Μὴ,Not,Adv,G3361,Luke 8,19941
φοβοῦ,fear,V-PMM/P-2S,G5399,Luke 8,19942
μόνον,only,Adv,G3440,Luke 8,19943
πίστευσον,believe,V-AMA-2S,G4100,Luke 8,19944
σωθήσεται,she will be saved,V-FIP-3S,G4982,Luke 8,19945
Ἐλθὼν,Having entered,V-APA-NMS,G2064,Luke 8,19946
οἰκίαν,house,N-AFS,G3614,Luke 8,19947
ἀφῆκεν,He did allow,V-AIA-3S,G863,Luke 8,19948
τινα,anyone,IPro-AMS,G5100,Luke 8,19949
εἰ,if,Conj,G1487,Luke 8,19950
Πέτρον,Peter,N-AMS,G4074,Luke 8,19951
Ἰωάννην,John,N-AMS,G2491,Luke 8,19952
Ἰάκωβον,James,N-AMS,G2385,Luke 8,19953
πατέρα,father,N-AMS,G3962,Luke 8,19954
παιδὸς,child,N-GFS,G3816,Luke 8,19955
μητέρα,mother,N-AFS,G3384,Luke 8,19956
ἔκλαιον,They were weeping,V-IIA-3P,G2799,Luke 8,19957
ἐκόπτοντο,mourning for,V-IIM-3P,G2875,Luke 8,19958
αὐτήν,her,PPro-AF3S,G846,Luke 8,19959
κλαίετε,weep,V-PMA-2P,G2799,Luke 8,19960
οὐ,not,Adv,G3756,Luke 8,19961
γὰρ,for,Conj,G1063,Luke 8,19962
ἀπέθανεν,she is dead,V-AIA-3S,G599,Luke 8,19963
ἀλλὰ,but,Conj,G235,Luke 8,19964
καθεύδει,sleeps,V-PIA-3S,G2518,Luke 8,19965
κατεγέλων,they were laughing at,V-IIA-3P,G2606,Luke 8,19966
εἰδότες,knowing,V-RPA-NMP,G1492,Luke 8,19967
Αὐτὸς,He,PPro-NM3S,G846,Luke 8,19968
κρατήσας,having taken hold,V-APA-NMS,G2902,Luke 8,19969
χειρὸς,hand,N-GFS,G5495,Luke 8,19970
ἐφώνησεν,called out,V-AIA-3S,G5455,Luke 8,19971
Ἡ,-,Art-VFS,G3588,Luke 8,19972
Παῖς,Child,N-VFS,G3816,Luke 8,19973
ἔγειρε,arise,V-PMA-2S,G1453,Luke 8,19974
ἐπέστρεψεν,returned,V-AIA-3S,G1994,Luke 8,19975
πνεῦμα,spirit,N-NNS,G4151,Luke 8,19976
ἀνέστη,she arose,V-AIA-3S,G450,Luke 8,19977
διέταξεν,He directed,V-AIA-3S,G1299,Luke 8,19978
δοθῆναι,to be given,V-ANP,G1325,Luke 8,19979
φαγεῖν,to eat,V-ANA,G5315,Luke 8,19980
ἐξέστησαν,were amazed,V-AIA-3P,G1839,Luke 8,19981
γονεῖς,parents,N-NMP,G1118,Luke 8,19982
παρήγγειλεν,He instructed,V-AIA-3S,G3853,Luke 8,19983
μηδενὶ,no one,Adj-DMS,G3367,Luke 8,19984
εἰπεῖν,to tell,V-ANA,G2036,Luke 8,19985
γεγονός,had happened,V-RPA-ANS,G1096,Luke 8,19986
Συνκαλεσάμενος,Having called together,V-APM-NMS,G4779,Luke 9,19987
δὲ,then,Conj,G1161,Luke 9,19988
τοὺς,the,Art-AMP,G3588,Luke 9,19989
δώδεκα,Twelve,Adj-AMP,G1427,Luke 9,19990
ἔδωκεν,He gave,V-AIA-3S,G1325,Luke 9,19991
αὐτοῖς,to them,PPro-DM3P,G846,Luke 9,19992
δύναμιν,power,N-AFS,G1411,Luke 9,19993
καὶ,and,Conj,G2532,Luke 9,19994
ἐξουσίαν,authority,N-AFS,G1849,Luke 9,19995
ἐπὶ,over,Prep,G1909,Luke 9,19996
πάντα,all,Adj-ANP,G3956,Luke 9,19997
τὰ,the,Art-ANP,G3588,Luke 9,19998
δαιμόνια,demons,N-ANP,G1140,Luke 9,19999
νόσους,diseases,N-AFP,G3554,Luke 9,20000
θεραπεύειν,to heal,V-PNA,G2323,Luke 9,20001
ἀπέστειλεν,He sent,V-AIA-3S,G649,Luke 9,20002
αὐτοὺς,them,PPro-AM3P,G846,Luke 9,20003
κηρύσσειν,to proclaim,V-PNA,G2784,Luke 9,20004
τὴν,the,Art-AFS,G3588,Luke 9,20005
βασιλείαν,kingdom,N-AFS,G932,Luke 9,20006
τοῦ,-,Art-GMS,G3588,Luke 9,20007
Θεοῦ,of God,N-GMS,G2316,Luke 9,20008
ἰᾶσθαι,to heal,V-PNM/P,G2390,Luke 9,20009
τοὺς,the,Art-AMP,G3588,Luke 9,20010
ἀσθενεῖς,sick,Adj-AMP,G772,Luke 9,20011
εἶπεν,He said,V-AIA-3S,G2036,Luke 9,20012
πρὸς,to,Prep,G4314,Luke 9,20013
αὐτούς,them,PPro-AM3P,G846,Luke 9,20014
Μηδὲν,Nothing,Adj-ANS,G3367,Luke 9,20015
αἴρετε,take,V-PMA-2P,G142,Luke 9,20016
εἰς,for,Prep,G1519,Luke 9,20017
ὁδόν,journey,N-AFS,G3598,Luke 9,20018
μήτε,neither,Conj,G3383,Luke 9,20019
ῥάβδον,staff,N-AFS,G4464,Luke 9,20020
πήραν,bag,N-AFS,G4082,Luke 9,20021
ἄρτον,bread,N-AMS,G740,Luke 9,20022
ἀργύριον,money,N-ANS,G694,Luke 9,20023
ἀνὰ,apiece,Adv,G303,Luke 9,20024
δύο,two,Adj-AMP,G1417,Luke 9,20025
χιτῶνας,tunics,N-AMP,G5509,Luke 9,20026
ἔχειν,to have,V-PNA,G2192,Luke 9,20027
ἣν,whatever,RelPro-AFS,G3739,Luke 9,20028
ἂν,-,Prtcl,G302,Luke 9,20029
οἰκίαν,house,N-AFS,G3614,Luke 9,20030
εἰσέλθητε,you might enter,V-ASA-2P,G1525,Luke 9,20031
ἐκεῖ,there,Adv,G1563,Luke 9,20032
μένετε,remain,V-PMA-2P,G3306,Luke 9,20033
ἐκεῖθεν,from there,Adv,G1564,Luke 9,20034
ἐξέρχεσθε,go forth,V-PMM/P-2P,G1831,Luke 9,20035
ὅσοι,as many as,RelPro-NMP,G3745,Luke 9,20036
μὴ,not,Adv,G3361,Luke 9,20037
δέχωνται,might receive,V-PSM/P-3P,G1209,Luke 9,20038
ὑμᾶς,you,PPro-A2P,G4771,Luke 9,20039
ἐξερχόμενοι,going forth,V-PPM/P-NMP,G1831,Luke 9,20040
ἀπὸ,from,Prep,G575,Luke 9,20041
τῆς,the,Art-GFS,G3588,Luke 9,20042
πόλεως,city,N-GFS,G4172,Luke 9,20043
ἐκείνης,that,DPro-GFS,G1565,Luke 9,20044
τὸν,the,Art-AMS,G3588,Luke 9,20045
κονιορτὸν,dust,N-AMS,G2868,Luke 9,20046
τῶν,the,Art-GMP,G3588,Luke 9,20047
ποδῶν,feet,N-GMP,G4228,Luke 9,20048
ὑμῶν,of you,PPro-G2P,G4771,Luke 9,20049
ἀποτινάσσετε,shake off,V-PMA-2P,G660,Luke 9,20050
μαρτύριον,a testimony,N-ANS,G3142,Luke 9,20051
ἐπ,against,Prep,G1909,Luke 9,20052
Ἐξερχόμενοι,Going forth,V-PPM/P-NMP,G1831,Luke 9,20053
διήρχοντο,they were passing,V-IIM/P-3P,G1330,Luke 9,20054
κατὰ,through,Prep,G2596,Luke 9,20055
τὰς,the,Art-AFP,G3588,Luke 9,20056
κώμας,villages,N-AFP,G2968,Luke 9,20057
εὐαγγελιζόμενοι,proclaiming the gospel,V-PPM-NMP,G2097,Luke 9,20058
θεραπεύοντες,healing,V-PPA-NMP,G2323,Luke 9,20059
πανταχοῦ,everywhere,Adv,G3837,Luke 9,20060
Ἤκουσεν,Heard of,V-AIA-3S,G191,Luke 9,20061
Ἡρῴδης,Herod,N-NMS,G2264,Luke 9,20062
ὁ,the,Art-NMS,G3588,Luke 9,20063
τετραάρχης,Tetrarch,N-NMS,G5076,Luke 9,20064
γινόμενα,being done,V-PPM/P-ANP,G1096,Luke 9,20065
διηπόρει,was perplexed,V-IIA-3S,G1280,Luke 9,20066
διὰ,because,Prep,G1223,Luke 9,20067
τὸ,-,Art-ANS,G3588,Luke 9,20068
λέγεσθαι,it was said,V-PNM/P,G3004,Luke 9,20069
ὑπό,by,Prep,G5259,Luke 9,20070
τινων,some,IPro-GMP,G5100,Luke 9,20071
ὅτι,-,Conj,G3754,Luke 9,20072
Ἰωάννης,John,N-NMS,G2491,Luke 9,20073
ἠγέρθη,has been raised,V-AIP-3S,G1453,Luke 9,20074
ἐκ,out from,Prep,G1537,Luke 9,20075
νεκρῶν,the dead,Adj-GMP,G3498,Luke 9,20076
Ἠλίας,Elijah,N-NMS,G2243,Luke 9,20077
ἐφάνη,had appeared,V-AIP-3S,G5316,Luke 9,20078
ἄλλων,by others,Adj-GMP,G243,Luke 9,20079
προφήτης,a prophet,N-NMS,G4396,Luke 9,20080
τις,one,IPro-NMS,G5100,Luke 9,20081
ἀρχαίων,ancients,Adj-GMP,G744,Luke 9,20082
ἀνέστη,had arisen,V-AIA-3S,G450,Luke 9,20083
Εἶπεν,Said,V-AIA-3S,G2036,Luke 9,20084
ὁ,-,Art-NMS,G3588,Luke 9,20085
Ἰωάννην,John,N-AMS,G2491,Luke 9,20086
ἐγὼ,I,PPro-N1S,G1473,Luke 9,20087
ἀπεκεφάλισα,beheaded,V-AIA-1S,G607,Luke 9,20088
τίς,who,IPro-NMS,G5101,Luke 9,20089
δέ,however,Conj,G1161,Luke 9,20090
ἐστιν,is,V-PIA-3S,G1510,Luke 9,20091
οὗτος,this,DPro-NMS,G3778,Luke 9,20092
περὶ,concerning,Prep,G4012,Luke 9,20093
οὗ,whom,RelPro-GMS,G3739,Luke 9,20094
ἀκούω,I hear,V-PIA-1S,G191,Luke 9,20095
τοιαῦτα,such things,DPro-ANP,G5108,Luke 9,20096
ἐζήτει,he was seeking,V-IIA-3S,G2212,Luke 9,20097
ἰδεῖν,to see,V-ANA,G3708,Luke 9,20098
αὐτόν,Him,PPro-AM3S,G846,Luke 9,20099
Καὶ,And,Conj,G2532,Luke 9,20100
ὑποστρέψαντες,having returned,V-APA-NMP,G5290,Luke 9,20101
οἱ,the,Art-NMP,G3588,Luke 9,20102
ἀπόστολοι,apostles,N-NMP,G652,Luke 9,20103
διηγήσαντο,related,V-AIM-3P,G1334,Luke 9,20104
αὐτῷ,to Him,PPro-DM3S,G846,Luke 9,20105
ὅσα,whatever,RelPro-ANP,G3745,Luke 9,20106
ἐποίησαν,they had done,V-AIA-3P,G4160,Luke 9,20107
παραλαβὼν,having taken,V-APA-NMS,G3880,Luke 9,20108
ὑπεχώρησεν,He withdrew,V-AIA-3S,G5298,Luke 9,20109
κατ,by,Prep,G2596,Luke 9,20110
ἰδίαν,Himself,Adj-AFS,G2398,Luke 9,20111
πόλιν,a town,N-AFS,G4172,Luke 9,20112
καλουμένην,called,V-PPM/P-AFS,G2564,Luke 9,20113
Βηθσαϊδά,Bethsaida,N-AFS,G966,Luke 9,20114
ὄχλοι,crowds,N-NMP,G3793,Luke 9,20115
γνόντες,having known it,V-APA-NMP,G1097,Luke 9,20116
ἠκολούθησαν,followed,V-AIA-3P,G190,Luke 9,20117
ἀποδεξάμενος,having received,V-APM-NMS,G588,Luke 9,20118
ἐλάλει,He was speaking,V-IIA-3S,G2980,Luke 9,20119
βασιλείας,kingdom,N-GFS,G932,Luke 9,20120
χρείαν,need,N-AFS,G5532,Luke 9,20121
ἔχοντας,having,V-PPA-AMP,G2192,Luke 9,20122
θεραπείας,of healing,N-GFS,G2322,Luke 9,20123
ἰᾶτο,He was healing,V-IIM/P-3S,G2390,Luke 9,20124
Ἡ,-,Art-NFS,G3588,Luke 9,20125
ἡμέρα,the day,N-NFS,G2250,Luke 9,20126
ἤρξατο,began,V-AIM-3S,G756,Luke 9,20127
κλίνειν,to decline,V-PNA,G2827,Luke 9,20128
προσελθόντες,having come,V-APA-NMP,G4334,Luke 9,20129
δώδεκα,Twelve,Adj-NMP,G1427,Luke 9,20130
εἶπαν,said,V-AIA-3P,G2036,Luke 9,20131
Ἀπόλυσον,Dismiss,V-AMA-2S,G630,Luke 9,20132
ὄχλον,crowd,N-AMS,G3793,Luke 9,20133
ἵνα,that,Conj,G2443,Luke 9,20134
πορευθέντες,having gone,V-APP-NMP,G4198,Luke 9,20135
κύκλῳ,surrounding,Adv,G2945,Luke 9,20136
ἀγροὺς,countryside,N-AMP,G68,Luke 9,20137
καταλύσωσιν,they might lodge,V-ASA-3P,G2647,Luke 9,20138
εὕρωσιν,might find,V-ASA-3P,G2147,Luke 9,20139
ἐπισιτισμόν,provisions,N-AMS,G1979,Luke 9,20140
ὧδε,here,Adv,G5602,Luke 9,20141
ἐν,in,Prep,G1722,Luke 9,20142
ἐρήμῳ,a desolate,Adj-DMS,G2048,Luke 9,20143
τόπῳ,place,N-DMS,G5117,Luke 9,20144
ἐσμέν,we are,V-PIA-1P,G1510,Luke 9,20145
Δότε,Give,V-AMA-2P,G1325,Luke 9,20146
φαγεῖν ,to eat,V-ANA,G5315,Luke 9,20147
ὑμεῖς,you,PPro-N2P,G4771,Luke 9,20148
Οἱ,-,Art-NMP,G3588,Luke 9,20149
Οὐκ,Not,Adv,G3756,Luke 9,20150
εἰσὶν,there are,V-PIA-3P,G1510,Luke 9,20151
ἡμῖν,to us,PPro-D1P,G1473,Luke 9,20152
πλεῖον,more,Adj-NNS-C,G4119,Luke 9,20153
ἢ,than,Conj,G2228,Luke 9,20154
ἄρτοι,loaves,N-NMP,G740,Luke 9,20155
πέντε,five,Adj-NMP,G4002,Luke 9,20156
ἰχθύες,fish,N-NMP,G2486,Luke 9,20157
δύο,two,Adj-NMP,G1417,Luke 9,20158
εἰ,if,Conj,G1487,Luke 9,20159
μήτι,not,IntPrtcl,G3385,Luke 9,20160
ἡμεῖς,we,PPro-N1P,G1473,Luke 9,20161
ἀγοράσωμεν,should buy,V-ASA-1P,G59,Luke 9,20162
πάντα,all,Adj-AMS,G3956,Luke 9,20163
λαὸν,people,N-AMS,G2992,Luke 9,20164
τοῦτον,this,DPro-AMS,G3778,Luke 9,20165
βρώματα,food,N-ANP,G1033,Luke 9,20166
ἦσαν,They were,V-IIA-3P,G1510,Luke 9,20167
γὰρ,for,Conj,G1063,Luke 9,20168
ὡσεὶ,about,Adv,G5616,Luke 9,20169
ἄνδρες,men,N-NMP,G435,Luke 9,20170
πεντακισχίλιοι,five thousand,Adj-NMP,G4000,Luke 9,20171
μαθητὰς,disciples,N-AMP,G3101,Luke 9,20172
αὐτοῦ,of Him,PPro-GM3S,G846,Luke 9,20173
Κατακλίνατε,Make sit down,V-AMA-2P,G2625,Luke 9,20174
κλισίας,groups,N-AFP,G2828,Luke 9,20175
πεντήκοντα,fifty,Adj-AMP,G4004,Luke 9,20176
οὕτως,so,Adv,G3779,Luke 9,20177
κατέκλιναν,made sit down,V-AIA-3P,G2625,Luke 9,20178
ἅπαντας,all,Adj-AMP,G537,Luke 9,20179
Λαβὼν,Having taken,V-APA-NMS,G2983,Luke 9,20180
πέντε,five,Adj-AMP,G4002,Luke 9,20181
ἄρτους,loaves,N-AMP,G740,Luke 9,20182
ἰχθύας,fish,N-AMP,G2486,Luke 9,20183
ἀναβλέψας,having looked up,V-APA-NMS,G308,Luke 9,20184
οὐρανὸν,heaven,N-AMS,G3772,Luke 9,20185
εὐλόγησεν,He blessed,V-AIA-3S,G2127,Luke 9,20186
κατέκλασεν,broke them,V-AIA-3S,G2622,Luke 9,20187
ἐδίδου,He kept giving them,V-IIA-3S,G1325,Luke 9,20188
τοῖς,to the,Art-DMP,G3588,Luke 9,20189
μαθηταῖς,disciples,N-DMP,G3101,Luke 9,20190
παραθεῖναι,to set before,V-ANA,G3908,Luke 9,20191
τῷ,the,Art-DMS,G3588,Luke 9,20192
ὄχλῳ,crowd,N-DMS,G3793,Luke 9,20193
ἔφαγον,they ate,V-AIA-3P,G5315,Luke 9,20194
ἐχορτάσθησαν,were satisfied,V-AIP-3P,G5526,Luke 9,20195
πάντες,all,Adj-NMP,G3956,Luke 9,20196
ἤρθη,was taken up,V-AIP-3S,G142,Luke 9,20197
τὸ,that,Art-NNS,G3588,Luke 9,20198
περισσεῦσαν,having been a surplus,V-APA-NNS,G4052,Luke 9,20199
κλασμάτων,of fragments,N-GNP,G2801,Luke 9,20200
κόφινοι,hand-baskets,N-NMP,G2894,Luke 9,20201
ἐγένετο,it came to pass,V-AIM-3S,G1096,Luke 9,20202
τῷ,-,Art-DNS,G3588,Luke 9,20203
εἶναι,was,V-PNA,G1510,Luke 9,20204
αὐτὸν,He,PPro-AM3S,G846,Luke 9,20205
προσευχόμενον,praying,V-PPM/P-AMS,G4336,Luke 9,20206
μόνας,solitary,Adj-AFP,G3441,Luke 9,20207
συνῆσαν,were with,V-IIA-3P,G4895,Luke 9,20208
μαθηταί,disciples,N-NMP,G3101,Luke 9,20209
ἐπηρώτησεν,He questioned,V-AIA-3S,G1905,Luke 9,20210
λέγων,saying,V-PPA-NMS,G3004,Luke 9,20211
Τίνα,Whom,IPro-AMS,G5101,Luke 9,20212
με,Me,PPro-A1S,G1473,Luke 9,20213
οἱ,the,Art-NMP,G3588,Luke 9,20214
ὄχλοι» ,crowds,N-NMP,G3793,Luke 9,20215
λέγουσιν,do pronounce,V-PIA-3P,G3004,Luke 9,20216
ἀποκριθέντες,answering,V-APP-NMP,G611,Luke 9,20217
Βαπτιστήν,Baptist,N-AMS,G910,Luke 9,20218
ἄλλοι,others,Adj-NMP,G243,Luke 9,20219
Ἠλίαν,Elijah,N-AMS,G2243,Luke 9,20220
Ὑμεῖς,You,PPro-N2P,G4771,Luke 9,20221
τίνα,whom,IPro-AMS,G5101,Luke 9,20222
λέγετε,do pronounce,V-PIA-2P,G3004,Luke 9,20223
Πέτρος,Peter,N-NMS,G4074,Luke 9,20224
ἀποκριθεὶς,answering,V-APP-NMS,G611,Luke 9,20225
Τὸν,The,Art-AMS,G3588,Luke 9,20226
Χριστὸν,Christ,N-AMS,G5547,Luke 9,20227
Ὁ,-,Art-NMS,G3588,Luke 9,20228
ἐπιτιμήσας,having strictly warned,V-APA-NMS,G2008,Luke 9,20229
παρήγγειλεν,He instructed them,V-AIA-3S,G3853,Luke 9,20230
μηδενὶ,to no one,Adj-DMS,G3367,Luke 9,20231
λέγειν,to tell,V-PNA,G3004,Luke 9,20232
τοῦτο,this,DPro-ANS,G3778,Luke 9,20233
εἰπὼν,having said,V-APA-NMS,G2036,Luke 9,20234
Δεῖ,It is necessary for,V-PIA-3S,G1163,Luke 9,20235
Υἱὸν,Son,N-AMS,G5207,Luke 9,20236
ἀνθρώπου,of Man,N-GMS,G444,Luke 9,20237
πολλὰ,many things,Adj-ANP,G4183,Luke 9,20238
παθεῖν,to suffer,V-ANA,G3958,Luke 9,20239
ἀποδοκιμασθῆναι,to be rejected,V-ANP,G593,Luke 9,20240
πρεσβυτέρων,elders,Adj-GMP,G4245,Luke 9,20241
ἀρχιερέων,chief priests,N-GMP,G749,Luke 9,20242
γραμματέων,scribes,N-GMP,G1122,Luke 9,20243
ἀποκτανθῆναι,to be killed,V-ANP,G615,Luke 9,20244
τῇ,on the,Art-DFS,G3588,Luke 9,20245
τρίτῃ,third,Adj-DFS,G5154,Luke 9,20246
ἡμέρᾳ,day,N-DFS,G2250,Luke 9,20247
ἐγερθῆναι,to be raised,V-ANP,G1453,Luke 9,20248
Ἔλεγεν,He was saying,V-IIA-3S,G2036,Luke 9,20249
πάντας,all,Adj-AMP,G3956,Luke 9,20250
Εἴ,If,Conj,G1487,Luke 9,20251
θέλει,desires,V-PIA-3S,G2309,Luke 9,20252
ὀπίσω,after,Prep,G3694,Luke 9,20253
μου,Me,PPro-G1S,G1473,Luke 9,20254
ἔρχεσθαι,to come,V-PNM/P,G2064,Luke 9,20255
ἀρνησάσθω,let him deny,V-AMM-3S,G720,Luke 9,20256
ἑαυτὸν,himself,RefPro-AM3S,G1438,Luke 9,20257
ἀράτω,let him take up,V-AMA-3S,G142,Luke 9,20258
σταυρὸν,cross,N-AMS,G4716,Luke 9,20259
καθ,every,Prep,G2596,Luke 9,20260
ἡμέραν,day,N-AFS,G2250,Luke 9,20261
ἀκολουθείτω,let him follow,V-PMA-3S,G190,Luke 9,20262
μοι,Me,PPro-D1S,G1473,Luke 9,20263
ὃς,Whoever,RelPro-NMS,G3739,Luke 9,20264
ἂν,-,Prtcl,G302,Luke 9,20265
θέλῃ,might desire,V-PSA-3S,G2309,Luke 9,20266
ψυχὴν,life,N-AFS,G5590,Luke 9,20267
σῶσαι,to save,V-ANA,G4982,Luke 9,20268
ἀπολέσει,will lose,V-FIA-3S,G622,Luke 9,20269
αὐτήν,it,PPro-AF3S,G846,Luke 9,20270
δ,however,Conj,G1161,Luke 9,20271
ἀπολέσῃ,might lose,V-ASA-3S,G622,Luke 9,20272
ἕνεκεν,on account of,Prep,G1752,Luke 9,20273
ἐμοῦ,me,PPro-G1S,G1473,Luke 9,20274
σώσει,will save,V-FIA-3S,G4982,Luke 9,20275
Τί,What,IPro-ANS,G5101,Luke 9,20276
ὠφελεῖται,is profited,V-PIM/P-3S,G5623,Luke 9,20277
ἄνθρωπος,a man,N-NMS,G444,Luke 9,20278
κερδήσας,having gained,V-APA-NMS,G2770,Luke 9,20279
κόσμον,world,N-AMS,G2889,Luke 9,20280
ὅλον,whole,Adj-AMS,G3650,Luke 9,20281
ἀπολέσας,having destroyed,V-APA-NMS,G622,Luke 9,20282
ζημιωθείς,having suffered the loss of,V-APP-NMS,G2210,Luke 9,20283
ἐπαισχυνθῇ,may have been ashamed of,V-ASP-3S,G1870,Luke 9,20284
ἐμοὺς,My,PPro-AM1P,G1699,Luke 9,20285
λόγους,words,N-AMP,G3056,Luke 9,20286
Υἱὸς,Son,N-NMS,G5207,Luke 9,20287
ἐπαισχυνθήσεται,will be ashamed of,V-FIP-3S,G1870,Luke 9,20288
