Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ἰωσὴφ,Joseph,N-AMS,G2501,Matthew 1,61
ἄνδρα,husband,N-AMS,G435,Matthew 1,62
Μαρίας,of Mary,N-GFS,G3137,Matthew 1,63
ἧς,whom,RelPro-GFS,G3739,Matthew 1,64
λεγόμενος,being called,V-PPM/P-NMS,G3004,Matthew 1,65
Πᾶσαι,All,Adj-NFP,G3956,Matthew 1,66
οὖν,therefore,Conj,G3767,Matthew 1,67
γενεαὶ,generations,N-NFP,G1074,Matthew 1,68
ἀπὸ,from,Prep,G575,Matthew 1,69
ἕως,to,Prep,G2193,Matthew 1,70
δεκατέσσαρες,fourteen,Adj-NFP,G1180,Matthew 1,71
οὕτως,thus,Adv,G3779,Matthew 1,72
ἦν,came about,V-IIA-3S,G1510,Matthew 1,73
μνηστευθείσης,Having been pledged,V-APP-GFS,G3423,Matthew 1,74
μητρὸς,mother,N-GFS,G3384,Matthew 1,75
πρὶν,before,Adv,G4250,Matthew 1,76
ἢ,rather,Conj,G2228,Matthew 1,77
συνελθεῖν,coming together,V-ANA,G4905,Matthew 1,78
εὑρέθη,she was found,V-AIP-3S,G2147,Matthew 1,79
ἐν,in,Prep,G1722,Matthew 1,80
γαστρὶ,womb,N-DFS,G1064,Matthew 1,81
ἔχουσα,having a child,V-PPA-NFS,G2192,Matthew 1,82
πνεύματος,the Spirit,N-GNS,G4151,Matthew 1,83
ἁγίου,Holy,Adj-GNS,G40,Matthew 1,84
δίκαιος,righteous,Adj-NMS,G1342,Matthew 1,85
μὴ,not,Adv,G3361,Matthew 1,86
θέλων,willing,V-PPA-NMS,G2309,Matthew 1,87
δειγματίσαι,to expose publicly,V-ANA,G1165,Matthew 1,88
ἐβουλήθη,purposed,V-AIP-3S,G1014,Matthew 1,89
λάθρᾳ,secretly,Adv,G2977,Matthew 1,90
ἀπολῦσαι,to send away,V-ANA,G630,Matthew 1,91
Ταῦτα,These things,DPro-ANP,G3778,Matthew 1,92
ἐνθυμηθέντος,having pondered,V-APP-GMS,G1760,Matthew 1,93
ἰδοὺ,behold,V-AMA-2S,G2400,Matthew 1,94
ἄγγελος,an angel,N-NMS,G32,Matthew 1,95
Κυρίου,of the Lord,N-GMS,G2962,Matthew 1,96
κατ,in,Prep,G2596,Matthew 1,97
ὄναρ,a dream,N-ANS,G3677,Matthew 1,98
ἐφάνη,appeared,V-AIP-3S,G5316,Matthew 1,99
φοβηθῇς,you should fear,V-ASP-2S,G5399,Matthew 1,100
παραλαβεῖν,to receive,V-ANA,G3880,Matthew 1,101
γυναῖκά,wife,N-AFS,G1135,Matthew 1,102
σου,of you,PPro-G2S,G4771,Matthew 1,103
γὰρ,for,Conj,G1063,Matthew 1,104
τέξεται,She will bear,V-FIM-3S,G5088,Matthew 1,105
καλέσεις,you will call,V-FIA-2S,G2564,Matthew 1,106
ὄνομα,name,N-ANS,G3686,Matthew 1,107
σώσει,will save,V-FIA-3S,G4982,Matthew 1,108
λαὸν,people,N-AMS,G2992,Matthew 1,109
ἁμαρτιῶν,sins,N-GFP,G266,Matthew 1,110
ὅλον,all,Adj-NNS,G3650,Matthew 1,111
γέγονεν,has come to pass,V-RIA-3S,G1096,Matthew 1,112
ἵνα,that,Conj,G2443,Matthew 1,113
πληρωθῇ,may be fulfilled,V-ASP-3S,G4137,Matthew 1,114
ῥηθὲν,having been spoken,V-APP-NNS,G2046,Matthew 1,115
ὑπὸ,by,Prep,G5259,Matthew 1,116
διὰ,through,Prep,G1223,Matthew 1,117
προφήτου,prophet,N-GMS,G4396,Matthew 1,118
παρθένος,virgin,N-NFS,G3933,Matthew 1,119
Ἐμμανουήλ,Immanuel,N-AMS,G1694,Matthew 1,120
μεθερμηνευόμενον,being translated,V-PPM/P-NNS,G3177,Matthew 1,121
ἡμῶν,us,PPro-G1P,G1473,Matthew 1,122
Θεός,God,N-NMS,G2316,Matthew 1,123
Ἐγερθεὶς,Having been awoken,V-APP-NMS,G1453,Matthew 1,124
ὕπνου,sleep,N-GMS,G5258,Matthew 1,125
ἐποίησεν,he did,V-AIA-3S,G4160,Matthew 1,126
ὡς,as,Adv,G5613,Matthew 1,127
προσέταξεν,had commanded,V-AIA-3S,G4367,Matthew 1,128
οὐκ,not,Adv,G3756,Matthew 1,129
ἐγίνωσκεν,knew,V-IIA-3S,G1097,Matthew 1,130
Βηθλέεμ,Bethlehem,N-DFS,G965,Matthew 2,131
Ἰουδαίας,of Judea,N-GFS,G2449,Matthew 2,132
ἡμέραις,the days,N-DFP,G2250,Matthew 2,133
Ἡρῴδου,of Herod,N-GMS,G2264,Matthew 2,134
μάγοι,Magi,N-NMP,G3097,Matthew 2,135
ἀνατολῶν,east,N-GFP,G395,Matthew 2,136
παρεγένοντο,arrived,V-AIM-3P,G3854,Matthew 2,137
εἰς,in,Prep,G1519,Matthew 2,138
Ἱεροσόλυμα,Jerusalem,N-ANP,G2414,Matthew 2,139
Ποῦ,Where,Adv,G4226,Matthew 2,140
Ἰουδαίων,Jews,Adj-GMP,G2453,Matthew 2,141
εἴδομεν,We saw,V-AIA-1P,G3708,Matthew 2,142
ἀστέρα,star,N-AMS,G792,Matthew 2,143
ἤλθομεν,are come,V-AIA-1P,G2064,Matthew 2,144
προσκυνῆσαι,to worship,V-ANA,G4352,Matthew 2,145
Ἀκούσας,Having heard,V-APA-NMS,G191,Matthew 2,146
ἐταράχθη,he was troubled,V-AIP-3S,G5015,Matthew 2,147
συναγαγὼν,having gathered together,V-APA-NMS,G4863,Matthew 2,148
ἀρχιερεῖς,chief priests,N-AMP,G749,Matthew 2,149
γραμματεῖς,scribes,N-AMP,G1122,Matthew 2,150
ἐπυνθάνετο,he was inquiring,V-IIM/P-3S,G4441,Matthew 2,151
παρ,of,Prep,G3844,Matthew 2,152
εἶπαν,they said,V-AIA-3P,G2036,Matthew 2,153
γέγραπται,has it been written,V-RIM/P-3S,G1125,Matthew 2,154
γῆ,land,N-VFS,G1093,Matthew 2,155
Ἰούδα,of Judah,N-GMS,G2448,Matthew 2,156
οὐδαμῶς,by no means,Adv,G3760,Matthew 2,157
ἐλαχίστη,least,Adj-NFS-S,G1646,Matthew 2,158
ἡγεμόσιν,rulers,N-DMP,G2232,Matthew 2,159
ἐξελεύσεται,will go forth,V-FIM-3S,G1831,Matthew 2,160
ἡγούμενος,One leading,V-PPM/P-NMS,G2233,Matthew 2,161
ὅστις,who,RelPro-NMS,G3748,Matthew 2,162
ποιμανεῖ,will shepherd,V-FIA-3S,G4165,Matthew 2,163
Ἰσραήλ,Israel,N-AMS,G2474,Matthew 2,164
Τότε,Then,Adv,G5119,Matthew 2,165
ἠκρίβωσεν,inquired exactly,V-AIA-3S,G198,Matthew 2,166
χρόνον,time,N-AMS,G5550,Matthew 2,167
πέμψας,having sent,V-APA-NMS,G3992,Matthew 2,168
Πορευθέντες,Having gone,V-APP-NMP,G4198,Matthew 2,169
ἐξετάσατε,search,V-AMA-2P,G1833,Matthew 2,170
ἀκριβῶς,carefully,Adv,G199,Matthew 2,171
περὶ,for,Prep,G4012,Matthew 2,172
παιδίου,Child,N-GNS,G3813,Matthew 2,173
ἐπὰν,when,Conj,G1875,Matthew 2,174
ἀπαγγείλατέ,bring word back,V-AMA-2P,G518,Matthew 2,175
ὅπως,so that,Conj,G3704,Matthew 2,176
κἀγὼ,I also,PPro-N1S,G2504,Matthew 2,177
προῆγεν,went before,V-IIA-3S,G4254,Matthew 2,178
ἐστάθη,it stood,V-AIP-3S,G2476,Matthew 2,179
ἐπάνω,over,Prep,G1883,Matthew 2,180
οὗ,where,Adv,G3757,Matthew 2,181
ἐχάρησαν,they rejoiced with,V-AIP-3P,G5463,Matthew 2,182
χαρὰν,joy,N-AFS,G5479,Matthew 2,183
μεγάλην,great,Adj-AFS,G3173,Matthew 2,184
σφόδρα,exceedingly,Adv,G4970,Matthew 2,185
οἰκίαν,house,N-AFS,G3614,Matthew 2,186
πεσόντες,having fallen down,V-APA-NMP,G4098,Matthew 2,187
ἀνοίξαντες,having opened,V-APA-NMP,G455,Matthew 2,188
θησαυροὺς,treasures,N-AMP,G2344,Matthew 2,189
προσήνεγκαν,they offered,V-AIA-3P,G4374,Matthew 2,190
δῶρα,gifts,N-ANP,G1435,Matthew 2,191
χρυσὸν,gold,N-AMS,G5557,Matthew 2,192
λίβανον,frankincense,N-AMS,G3030,Matthew 2,193
σμύρναν,myrrh,N-AFS,G4666,Matthew 2,194
χρηματισθέντες,having been divinely warned,V-APP-NMP,G5537,Matthew 2,195
ἀνακάμψαι,to return,V-ANA,G344,Matthew 2,196
πρὸς,to,Prep,G4314,Matthew 2,197
ἄλλης,another,Adj-GFS,G243,Matthew 2,198
ὁδοῦ,route,N-GFS,G3598,Matthew 2,199
ἀνεχώρησαν,they withdrew,V-AIA-3P,G402,Matthew 2,200
χώραν,country,N-AFS,G5561,Matthew 2,201
φεῦγε,flee,V-PMA-2S,G5343,Matthew 2,202
Αἴγυπτον,Egypt,N-AFS,G125,Matthew 2,203
ἐκεῖ,there,Adv,G1563,Matthew 2,204
ἂν,-,Prtcl,G302,Matthew 2,205
μέλλει,is about,V-PIA-3S,G3195,Matthew 2,206
ζητεῖν,to seek,V-PNA,G2212,Matthew 2,207
ἀπολέσαι,to destroy,V-ANA,G622,Matthew 2,208
νυκτὸς,by night,N-GFS,G3571,Matthew 2,209
τελευτῆς,death,N-GFS,G5054,Matthew 2,210
ὅτι,that,Conj,G3754,Matthew 2,211
ἐνεπαίχθη,he had been outwitted,V-AIP-3S,G1702,Matthew 2,212
ἐθυμώθη,was enraged,V-AIP-3S,G2373,Matthew 2,213
λίαν,intensely,Adv,G3029,Matthew 2,214
ἀποστείλας,having sent forth,V-APA-NMS,G649,Matthew 2,215
ἀνεῖλεν,he put to death,V-AIA-3S,G337,Matthew 2,216
παῖδας,boys,N-AMP,G3816,Matthew 2,217
ὁρίοις,vicinity,N-DNP,G3725,Matthew 2,218
διετοῦς,two years old,Adj-GMS,G1332,Matthew 2,219
κατωτέρω,under,Adv,G2736,Matthew 2,220
Ἰερεμίου,Jeremiah,N-GMS,G2408,Matthew 2,221
Φωνὴ,A voice,N-NFS,G5456,Matthew 2,222
Ῥαμὰ,Ramah,N-DFS,G4471,Matthew 2,223
κλαυθμὸς,weeping,N-NMS,G2805,Matthew 2,224
ὀδυρμὸς,mourning,N-NMS,G3602,Matthew 2,225
πολύς,great,Adj-NMS,G4183,Matthew 2,226
Ῥαχὴλ,Rachel,N-NFS,G4478,Matthew 2,227
κλαίουσα,weeping for,V-PPA-NFS,G2799,Matthew 2,228
τέκνα,children,N-ANP,G5043,Matthew 2,229
παρακληθῆναι,be comforted,V-ANP,G3870,Matthew 2,230
Τελευτήσαντος,Having died,V-APA-GMS,G5053,Matthew 2,231
τεθνήκασιν,they have died,V-RIA-3P,G2348,Matthew 2,232
ψυχὴν,life,N-AFS,G5590,Matthew 2,233
εἰσῆλθεν,came,V-AIA-3S,G1525,Matthew 2,234
Ἀρχέλαος,Archelaus,N-NMS,G745,Matthew 2,235
βασιλεύει,reigns over,V-PIA-3S,G936,Matthew 2,236
ἀντὶ,in place of,Prep,G473,Matthew 2,237
πατρὸς,father,N-GMS,G3962,Matthew 2,238
ἀπελθεῖν,to go,V-ANA,G565,Matthew 2,239
μέρη,district,N-ANP,G3313,Matthew 2,240
Γαλιλαίας,of Galilee,N-GFS,G1056,Matthew 2,241
κατῴκησεν,he dwelt,V-AIA-3S,G2730,Matthew 2,242
πόλιν,a city,N-AFS,G4172,Matthew 2,243
Ναζαρέτ,Nazareth,N-AFS,G3478,Matthew 2,244
Ναζωραῖος,A Nazarene,N-NMS,G3480,Matthew 2,245
ἐκείναις,those,DPro-DFP,G1565,Matthew 3,246
Ἰωάννης,John,N-NMS,G2491,Matthew 3,247
βαπτιστὴς,Baptist,N-NMS,G910,Matthew 3,248
κηρύσσων,preaching,V-PPA-NMS,G2784,Matthew 3,249
ἐρήμῳ,wilderness,Adj-DFS,G2048,Matthew 3,250
Μετανοεῖτε,Repent,V-PMA-2P,G3340,Matthew 3,251
ἤγγικεν,has drawn near,V-RIA-3S,G1448,Matthew 3,252
βασιλεία,kingdom,N-NFS,G932,Matthew 3,253
οὐρανῶν,heavens,N-GMP,G3772,Matthew 3,254
Ἠσαΐου,Isaiah,N-GMS,G2268,Matthew 3,255
βοῶντος,of one crying,V-PPA-GMS,G994,Matthew 3,256
Ἑτοιμάσατε,Prepare,V-AMA-2P,G2090,Matthew 3,257
εὐθείας,straight,Adj-AFP,G2117,Matthew 3,258
τρίβους,paths,N-AFP,G5147,Matthew 3,259
ἔνδυμα,garment,N-ANS,G1742,Matthew 3,260
τριχῶν,hair,N-GFP,G2359,Matthew 3,261
καμήλου,of a camel,N-GFS,G2574,Matthew 3,262
ζώνην,a belt,N-AFS,G2223,Matthew 3,263
δερματίνην,of leather,Adj-AFS,G1193,Matthew 3,264
ὀσφὺν,waist,N-AFS,G3751,Matthew 3,265
τροφὴ,the food,N-NFS,G5160,Matthew 3,266
ἀκρίδες,locusts,N-NFP,G200,Matthew 3,267
μέλι,honey,N-NNS,G3192,Matthew 3,268
ἄγριον,wild,Adj-NNS,G66,Matthew 3,269
ἐξεπορεύετο,were going out,V-IIM/P-3S,G1607,Matthew 3,270
περίχωρος,region around,Adj-NFS,G4066,Matthew 3,271
Ἰορδάνου,Jordan,N-GMS,G2446,Matthew 3,272
ἐβαπτίζοντο,were being baptized,V-IIM/P-3P,G907,Matthew 3,273
ποταμῷ,River,N-DMS,G4215,Matthew 3,274
ἐξομολογούμενοι,confessing,V-PPM-NMP,G1843,Matthew 3,275
Φαρισαίων,Pharisees,N-GMP,G5330,Matthew 3,276
Σαδδουκαίων,Sadducees,N-GMP,G4523,Matthew 3,277
βάπτισμα,baptism,N-ANS,G908,Matthew 3,278
Γεννήματα,Brood,N-VNP,G1081,Matthew 3,279
ἐχιδνῶν,of vipers,N-GFP,G2191,Matthew 3,280
τίς,who,IPro-NMS,G5101,Matthew 3,281
ὑπέδειξεν,forewarned,V-AIA-3S,G5263,Matthew 3,282
ὀργῆς,wrath,N-GFS,G3709,Matthew 3,283
καρπὸν,fruit,N-AMS,G2590,Matthew 3,284
ἄξιον,worthy,Adj-AMS,G514,Matthew 3,285
μετανοίας,of repentance,N-GFS,G3341,Matthew 3,286
δόξητε,presume,V-ASA-2P,G1380,Matthew 3,287
ἑαυτοῖς,yourselves,RefPro-DM3P,G1438,Matthew 3,288
δύναται,able is,V-PIM/P-3S,G1410,Matthew 3,289
λίθων,stones,N-GMP,G3037,Matthew 3,290
ἤδη,Already,Adv,G2235,Matthew 3,291
ἀξίνη,ax,N-NFS,G513,Matthew 3,292
ῥίζαν,root,N-AFS,G4491,Matthew 3,293
δένδρων,trees,N-GNP,G1186,Matthew 3,294
κεῖται,is applied,V-PIM/P-3S,G2749,Matthew 3,295
καλὸν,good,Adj-AMS,G2570,Matthew 3,296
ἐκκόπτεται,is cut down,V-PIM/P-3S,G1581,Matthew 3,297
πῦρ,the fire,N-ANS,G4442,Matthew 3,298
βάλλεται,is thrown,V-PIM/P-3S,G906,Matthew 3,299
μὲν,indeed,Conj,G3303,Matthew 3,300
ὕδατι,water,N-DNS,G5204,Matthew 3,301
ὀπίσω,after,Prep,G3694,Matthew 3,302
ἰσχυρότερός,mightier,Adj-NMS-C,G2478,Matthew 3,303
ἱκανὸς,fit,Adj-NMS,G2425,Matthew 3,304
ὑποδήματα,sandals,N-ANP,G5266,Matthew 3,305
βαστάσαι,to carry,V-ANA,G941,Matthew 3,306
πτύον,winnowing fork is,N-NNS,G4425,Matthew 3,307
χειρὶ,hand,N-DFS,G5495,Matthew 3,308
διακαθαριεῖ,He will clear,V-FIA-3S,G1245,Matthew 3,309
ἅλωνα,threshing floor,N-AFS,G257,Matthew 3,310
σῖτον,wheat,N-AMS,G4621,Matthew 3,311
ἀποθήκην,barn,N-AFS,G596,Matthew 3,312
ἄχυρον,chaff,N-ANS,G892,Matthew 3,313
κατακαύσει,He will burn up,V-FIA-3S,G2618,Matthew 3,314
ἀσβέστῳ,unquenchable,Adj-DNS,G762,Matthew 3,315
διεκώλυεν,was hindering,V-IIA-3S,G1254,Matthew 3,316
χρείαν,need,N-AFS,G5532,Matthew 3,317
Ἀποκριθεὶς,Answering,V-APP-NMS,G611,Matthew 3,318
Ἄφες,Permit it,V-AMA-2S,G863,Matthew 3,319
ἄρτι,presently,Adv,G737,Matthew 3,320
πρέπον,fitting,V-PPA-NNS,G4241,Matthew 3,321
δικαιοσύνην,righteousness,N-AFS,G1343,Matthew 3,322
εὐθὺς,immediately,Adv,G2112,Matthew 3,323
ἀνέβη,went up,V-AIA-3S,G305,Matthew 3,324
καταβαῖνον,descending,V-PPA-ANS,G2597,Matthew 3,325
ὡσεὶ,as,Adv,G5616,Matthew 3,326
περιστερὰν,a dove,N-AFS,G4058,Matthew 3,327
ἀγαπητός,beloved,Adj-NMS,G27,Matthew 3,328
εὐδόκησα,I was well pleased,V-AIA-1S,G2106,Matthew 3,329
ἀνήχθη,was led up,V-AIP-3S,G321,Matthew 4,330
πειρασθῆναι,to be tempted,V-ANP,G3985,Matthew 4,331
διαβόλου,devil,Adj-GMS,G1228,Matthew 4,332
νηστεύσας,having fasted,V-APA-NMS,G3522,Matthew 4,333
τεσσεράκοντα,forty,Adj-AFP,G5062,Matthew 4,334
ὕστερον,afterward,Adv,G5305,Matthew 4,335
ἐπείνασεν,He was hungry,V-AIA-3S,G3983,Matthew 4,336
προσελθὼν,having come,V-APA-NMS,G4334,Matthew 4,337
Εἰ,If,Conj,G1487,Matthew 4,338
ἄρτοι,loaves of bread,N-NMP,G740,Matthew 4,339
μόνῳ,alone,Adj-DMS,G3441,Matthew 4,340
ζήσεται,shall live,V-FIM-3S,G2198,Matthew 4,341
ἄνθρωπος,man,N-NMS,G444,Matthew 4,342
Ἀλλ,but,Conj,G235,Matthew 4,343
ῥήματι,word,N-DNS,G4487,Matthew 4,344
στόματος,the mouth,N-GNS,G4750,Matthew 4,345
πτερύγιον,pinnacle,N-ANS,G4419,Matthew 4,346
ἱεροῦ,temple,N-GNS,G2411,Matthew 4,347
σεαυτὸν,Yourself,PPro-AM2S,G4572,Matthew 4,348
ἐντελεῖται,He will give orders,V-FIM-3S,G1781,Matthew 4,349
ἀροῦσίν,will they bear up,V-FIA-3P,G142,Matthew 4,350
ποτε,ever,Conj,G4219,Matthew 4,351
προσκόψῃς,You strike,V-ASA-2S,G4350,Matthew 4,352
πόδα,foot,N-AMS,G4228,Matthew 4,353
Ἔφη,Said,V-IIA-3S,G5346,Matthew 4,354
Πάλιν,Again,Adv,G3825,Matthew 4,355
ἐκπειράσεις,you shall test,V-FIA-2S,G1598,Matthew 4,356
ὄρος,a mountain,N-ANS,G3735,Matthew 4,357
ὑψηλὸν,high,Adj-ANS,G5308,Matthew 4,358
δείκνυσιν,shows,V-PIA-3S,G1166,Matthew 4,359
κόσμου,world,N-GMS,G2889,Matthew 4,360
δόξαν,glory,N-AFS,G1391,Matthew 4,361
δώσω,will I give,V-FIA-1S,G1325,Matthew 4,362
ἐὰν,if,Conj,G1437,Matthew 4,363
Ὕπαγε,Get you away,V-PMA-2S,G5217,Matthew 4,364
Σατανᾶ,Satan,N-VMS,G4567,Matthew 4,365
λατρεύσεις,shall you serve,V-FIA-2S,G3000,Matthew 4,366
διηκόνουν,were ministering,V-IIA-3P,G1247,Matthew 4,367
παρεδόθη,had been delivered up,V-AIP-3S,G3860,Matthew 4,368
καταλιπὼν,having left,V-APA-NMS,G2641,Matthew 4,369
Καφαρναοὺμ,Capernaum,N-AFS,G2584,Matthew 4,370
παραθαλασσίαν,is on the sea-side,Adj-AFS,G3864,Matthew 4,371
Ζαβουλὼν,of Zebulun,N-GMS,G2194,Matthew 4,372
Νεφθαλίμ,Naphtali,N-GMS,G3508,Matthew 4,373
θαλάσσης,of the sea,N-GFS,G2281,Matthew 4,374
πέραν,beyond,Prep,G4008,Matthew 4,375
ἐθνῶν,Gentiles,N-GNP,G1484,Matthew 4,376
καθήμενος,sitting,V-PPM/P-NMS,G2521,Matthew 4,377
σκοτίᾳ,darkness,N-DFS,G4653,Matthew 4,378
φῶς,a light,N-ANS,G5457,Matthew 4,379
σκιᾷ,shadow,N-DFS,G4639,Matthew 4,380
θανάτου,of death,N-GMS,G2288,Matthew 4,381
ἀνέτειλεν,has dawned,V-AIA-3S,G393,Matthew 4,382
ἤρξατο,began,V-AIM-3S,G756,Matthew 4,383
Περιπατῶν,Walking,V-PPA-NMS,G4043,Matthew 4,384
δύο,two,Adj-AMP,G1417,Matthew 4,385
Σίμωνα,Simon,N-AMS,G4613,Matthew 4,386
Πέτρον,Peter,N-AMS,G4074,Matthew 4,387
Ἀνδρέαν,Andrew,N-AMS,G406,Matthew 4,388
ἀμφίβληστρον,a net,N-ANS,G293,Matthew 4,389
ἁλιεῖς,fishermen,N-NMP,G231,Matthew 4,390
Δεῦτε,Come follow,V-M-2P,G1205,Matthew 4,391
δίκτυα,nets,N-ANP,G1350,Matthew 4,392
ἠκολούθησαν,they followed,V-AIA-3P,G190,Matthew 4,393
προβὰς,having gone on,V-APA-NMS,G4260,Matthew 4,394
ἐκεῖθεν,from there,Adv,G1564,Matthew 4,395
Ἰάκωβον,James,N-AMS,G2385,Matthew 4,396
Ζεβεδαίου,of Zebedee,N-GMS,G2199,Matthew 4,397
πλοίῳ,boat,N-DNS,G4143,Matthew 4,398
καταρτίζοντας,mending,V-PPA-AMP,G2675,Matthew 4,399
περιῆγεν,He was going,V-IIA-3S,G4013,Matthew 4,400
διδάσκων,teaching,V-PPA-NMS,G1321,Matthew 4,401
συναγωγαῖς,synagogues,N-DFP,G4864,Matthew 4,402
εὐαγγέλιον,gospel,N-ANS,G2098,Matthew 4,403
θεραπεύων,healing,V-PPA-NMS,G2323,Matthew 4,404
νόσον,disease,N-AFS,G3554,Matthew 4,405
μαλακίαν,sickness,N-AFS,G3119,Matthew 4,406
ἀκοὴ,news,N-NFS,G189,Matthew 4,407
Συρίαν,Syria,N-AFS,G4947,Matthew 4,408
κακῶς,sick,Adv,G2560,Matthew 4,409
ποικίλαις,various,Adj-DFP,G4164,Matthew 4,410
βασάνοις,pains,N-DFP,G931,Matthew 4,411
συνεχομένους,oppressing,V-PPM/P-AMP,G4912,Matthew 4,412
δαιμονιζομένους,being possessed by demons,V-PPM/P-AMP,G1139,Matthew 4,413
σεληνιαζομένους,being epileptics,V-PPM/P-AMP,G4583,Matthew 4,414
παραλυτικούς,paralytics,Adj-AMP,G3885,Matthew 4,415
ὄχλοι,crowds,N-NMP,G3793,Matthew 4,416
Δεκαπόλεως,the Decapolis,N-GFS,G1179,Matthew 4,417
καθίσαντος,having sat down,V-APA-GMS,G2523,Matthew 5,418
μαθηταὶ,disciples,N-NMP,G3101,Matthew 5,419
Μακάριοι,Blessed are,Adj-NMP,G3107,Matthew 5,420
πτωχοὶ,poor,Adj-NMP,G4434,Matthew 5,421
πενθοῦντες,mourning,V-PPA-NMP,G3996,Matthew 5,422
πραεῖς,meek,Adj-NMP,G4239,Matthew 5,423
κληρονομήσουσιν,will inherit,V-FIA-3P,G2816,Matthew 5,424
διψῶντες,thirsting for,V-PPA-NMP,G1372,Matthew 5,425
χορτασθήσονται,will be filled,V-FIP-3P,G5526,Matthew 5,426
ἐλεήμονες,merciful,Adj-NMP,G1655,Matthew 5,427
ἐλεηθήσονται,will receive mercy,V-FIP-3P,G1653,Matthew 5,428
καθαροὶ,pure,Adj-NMP,G2513,Matthew 5,429
καρδίᾳ,in heart,N-DFS,G2588,Matthew 5,430
εἰρηνοποιοί,peacemakers,Adj-NMP,G1518,Matthew 5,431
