,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
60,ἀδείας,ἄδεια,"ἄδεια, freedom from fear: safe conduct, indemnity",a)dei/as," feminine accusative plural,   feminine genitive singular",1,Aesop's Fables,"The cry of ""Wolf"""
61,"λαβόμενος,",λαμβάνω,"λαμβάνω, λαμβάνω, λήψομαι, ἔλαβον, εἴληφα, εἴλημμαι, ἐλήφθην, take","labo/menos,",  aorist middle participle masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
62,εὐκόλως,εὔκολος,"εὔκολος, easily satisfied, contented; easy",eu)ko/lws,"  adverb,  masculine accusative plural (NCA),  feminine accusative plural (NCA)",1,Aesop's Fables,"The cry of ""Wolf"""
63,τὴν,ὁ,"ὁ, ὁ, the [definite article]",th\n,  definite article feminine accusative singular,1,Aesop's Fables,"The cry of ""Wolf"""
64,ποίμνην,ποίμνη,"ποίμνη, a flock",poi/mnhn,  feminine accusative singular,1,Aesop's Fables,"The cry of ""Wolf"""
65,πᾶσαν,πᾶς,"πᾶς, πᾶς, πᾶσα, πᾶν, all, every, whole",pa=san,  feminine accusative singular,1,Aesop's Fables,"The cry of ""Wolf"""
66,διέφθειρεν.,διαφθείρω,"διαφθείρω, διαφθείρω, destroy utterly; corrupt, bribe; seduce; (intrans. 2nd perf.) have been ruined, destroyed",die/fqeiren.,"  aorist active indicative 3rd singular,   imperfect active indicative 3rd singular",1,Aesop's Fables,"The cry of ""Wolf"""
67,Ὁ,ὁ,"ὁ, ὁ, the [definite article]",*(o,  definite article masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
68,μῦθος,μῦθος,"μῦθος, anything, delivered by word of mouth, word, speech",mu=qos,  masculine nominative singular,1,Aesop's Fables,"The cry of ""Wolf"""
69,δηλοῖ,δηλόω,"δηλόω, δηλόω, δηλώσω, ἐδήλωσα, δεδήλωκα, δεδήλωμαι, ἐδηλώθην, make clear, show",dhloi=," present middle-passive indicative 2nd singular,  present active optative 3rd singular,   present active indicative 3rd singular,   present active subjunctive 3rd singular",1,Aesop's Fables,"The cry of ""Wolf"""
70,ὅτι,ὅστις,"ὅστις, ὅστις, ἥτις, ὅτι, (indefinite relative) whoever, whatever; (indirect interrogative) who?, what?",o(/ti,"  relative pronoun neuter nominative singular,   relative pronoun neuter accusative singular,   interrogative pronoun neuter nominative singular,   interrogative pronoun neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
71,τοσοῦτον,τοσοῦτος,"τοσοῦτος, τοσοῦτος, τοσαύτη, τοσοῦτο/τοσοῦτον, so much/many, so large",tosou=ton,"  demonstrative pronoun masculine accusative singular,   demonstrative pronoun neuter accusative singular,   demonstrative pronoun neuter nominative singular",1,Aesop's Fables,"The cry of ""Wolf"""
72,οὐκ,οὐ,"οὐ, οὐ, οὐκ, οὐχ, not",ou)k,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
73,ὠφελεῖ,ὠφελέω,"ὠφελέω, ὠφελέω, help, aid",w)felei=," present middle-passive indicative 2nd singular,   present active indicative 3rd singular",1,Aesop's Fables,"The cry of ""Wolf"""
74,τινα,τις,"τις, τις, τι, someone, something; anyone, anything; some, any",tina,"  indefinite pronoun common accusative singular,  indefinite pronoun neuter nominative plural,  indefinite pronoun neuter vocative plural,   indefinite pronoun neuter accusative plural",1,Aesop's Fables,"The cry of ""Wolf"""
75,τὸ,ὁ,"ὁ, ὁ, the [definite article]",to\,"  definite article neuter nominative singular,   definite article neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
76,μὴ,μή,"μή, μή, not",mh\,"  conjunction,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
77,λαλεῖν,λαλέω,"λαλέω, to talk, chat, prattle, babble",lalei=n,  present active infinitive,1,Aesop's Fables,"The cry of ""Wolf"""
78,τὰ,ὁ,"ὁ, ὁ, the [definite article]",ta\,"  definite article neuter nominative plural,   definite article neuter accusative plural,  definite article feminine nominative dual,  definite article feminine accusative dual",1,Aesop's Fables,"The cry of ""Wolf"""
79,ἀληθῆ,ἀληθής,"ἀληθής, ἀληθής, ἀληθές, true, real",a)lhqh=,"  neuter nominative plural,  neuter vocative plural,   neuter accusative plural,   masculine accusative singular,   feminine accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
80,ὅσον,ὅσος,"ὅσος, ὅσος, ὅση, ὅσον, as much/many as, as large as; how much/many!, how large!",o(/son,"  relative pronoun masculine accusative singular,   relative pronoun neuter nominative singular,  relative pronoun neuter vocative singular,   relative pronoun neuter accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
81,δεῖ,δέω,"δέω, to bind, tie, fetter",dei=," present middle-passive indicative 2nd singular,  imperfect active indicative 3rd singular,   present active imperative 2nd singular,  present active indicative 3rd singular",1,Aesop's Fables,"The cry of ""Wolf"""
82,φοβεῖσθαι,φοβέω,"φοβέω, φοβέομαι, φοβήσομαι, ΧΧΧ, ΧΧΧ, πεφόβημαι, ἐφοβήθην, fear, be afraid",fobei=sqai,  present middle-passive infinitive,1,Aesop's Fables,"The cry of ""Wolf"""
83,μήπως,μήπως,"μήπως, lest in any way, lest any how, lest perchance",mh/pws,  adverb,1,Aesop's Fables,"The cry of ""Wolf"""
84,ἐκ,ἐκ,"ἐκ, ἐκ, ἐξ, from, out of",e)k,"  preposition,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
85,τούτου,οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that",tou/tou,"  demonstrative pronoun masculine genitive singular,   demonstrative pronoun neuter genitive singular",1,Aesop's Fables,"The cry of ""Wolf"""
86,οὐδὲ,οὐδέ,"οὐδέ, οὐδέ, and not; not even",ou)de\,"  conjunction,   adverb",1,Aesop's Fables,"The cry of ""Wolf"""
87,τὰ,ὁ,"ὁ, ὁ, the [definite article]",ta\,"  definite article neuter nominative plural,   definite article neuter accusative plural,  definite article feminine nominative dual,  definite article feminine accusative dual",1,Aesop's Fables,"The cry of ""Wolf"""
88,ἀληθῆ,ἀληθής,"ἀληθής, ἀληθής, ἀληθές, true, real",a)lhqh=,"  neuter nominative plural,  neuter vocative plural,   neuter accusative plural,   masculine accusative singular,   feminine accusative singular",1,Aesop's Fables,"The cry of ""Wolf"""
89,λέγων,λέγω,"λέγω, λέγω, ἐρέω or λέξω, εἶπον or ἔλεξα, εἴρηκα, εἴρημαι or λέλεγμαι, ἐλέχθην or ἐρρήθην, say, speak",le/gwn,"  present active participle masculine vocative singular,   present active participle masculine nominative singular",1,Aesop's Fables,"The cry of ""Wolf"""
90,εἰσακούσθῃ.,εἰσακούω,"εἰσακούω, to listen",ei)sakou/sqh|., future passive indicative 3rd singular,1,Aesop's Fables,"The cry of ""Wolf"""
